sample_id	bed_lines	ref_lines	rs_lines	rs_bytes	rs_wall_s	rs_peak_rss_kb
s1520	140249	140955	140249	50711446	27.85	193548
s1521	195902	197362	195902	70949194	28.95	363188
s1522	163658	164484	163658	59251526	38.29	1273984
s1523	130015	130687	130015	47085542	24.35	195896
s1524	217804	219434	217804	78964230	36.83	608212
s1525	225269	227188	225269	81602065	28.82	264884
s1526	175570	176508	175570	63587357	25.51	524844
s1527	336690	340213	336690	122226433	27.82	687452
s1528	263360	265850	263360	95513013	27.44	537560
s1529	193034	194610	193034	69919171	25.24	529680
s1530	102680	103277	102680	37004882	26.55	682636
s1531	332092	335867	332092	120325517	34.95	672052
s1532	200183	201595	200183	72494956	33.4	1060224
s1533	408433	412320	408433	148036052	32.12	732232
s1534	168891	169822	168891	61161270	33.89	505176
s1535	193497	194877	193497	70111488	28.33	512860
s1536	144115	144896	144115	52208300	30.26	839488
s1537	158284	159363	158284	57336703	32.18	755984
s1538	159678	160665	159678	57814608	27.04	348064
s1539	177357	178380	177357	64230648	29.12	599464
s1540	448920	454428	448920	162807972	36.37	653416
s1541	182061	183343	182061	65936297	29.52	877768
s1542	260749	263156	260749	94542094	26.32	499580
s1543	180931	182079	180931	65490160	29.02	762628
s1544	196330	171047	196330	71084415	33.79	1033340
s1545	496341	502422	496341	180319808	83.17	2591020
s1546	221699	223981	221699	80376425	55.61	311296
s1547	276657	280165	276657	100208953	36.9	1236728
s1548	230613	232637	230613	83633179	27.7	343152
s1549	113893	114463	113893	41214062	27.18	734920
s1550	132741	133521	132741	48079997	37.27	1198948
s1551	123066	123700	123066	44464932	31.83	410236
s1552	509658	528171	509658	184662413	34.81	761840
s1553	206705	207964	206705	74940845	37.15	909764
s1554	218301	219937	218301	79132264	25.9	413860
s1555	149931	150722	149931	54331573	25.34	887260
s1556	1360947	1453961	1360947	495830337	84.26	2818676
s1557	109044	109577	109044	39427907	43.93	1303568
s1558	192994	194718	192994	69921787	30.04	518808
s1559	195940	197535	195940	70957401	28.2	294960
s1560	109617	110124	109617	39567651	28.68	636224
s1561	163079	141747	163079	59085027	23.1	366996
s1562	177197	178331	177197	64202408	25.73	280788
s1563	228674	230400	228674	82890842	29.78	495764
s1564	251057	252876	251057	91086799	32.06	555348
s1565	138591	139383	138591	50199072	24.19	553136
s1566	126545	127090	126545	45751410	26.35	310768
s1567	251005	252854	251005	91049215	29.96	672224
s1568	337146	342096	337146	122237845	65.44	986128
s1569	159825	160685	159825	57861096	27.01	321256
s1570	258064	261051	258064	93524627	30.47	637544
